"특성별(1)","특성별(2)","경험및변화별(1)",경험및변화별(2),품목군별(1),2022,2023,2024
"행정구역","읍면","구입 경험 (%)",구입 있음,육류,80.9,62.2,75.8
"행정구역","읍면","구입 경험 (%)",구입 있음,수산물,70.3,56.2,68.3
"행정구역","읍면","구입 경험 (%)",구입 있음,소스/양념류,87.6,80.3,77.2
"행정구역","읍면","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,80.9,76.6,77.2
"행정구역","읍면","구입 변화",매우 감소 (%),즉석 밥류,4.1,5.3,5.0
"행정구역","읍면","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,4.4,14.0,7.4
"행정구역","읍면","구입 변화",매우 감소 (%),죽/스프류,8.4,13.3,19.0
"행정구역","읍면","구입 변화",매우 감소 (%),만두/피자류,2.7,5.1,2.5
"행정구역","읍면","구입 변화",매우 감소 (%),육류,5.7,18.3,13.0
"행정구역","읍면","구입 변화",매우 감소 (%),수산물,7.4,14.9,14.8
"행정구역","읍면","구입 변화",매우 감소 (%),소스/양념류,6.1,12.4,7.3
"행정구역","읍면","구입 변화",매우 감소 (%),즉석 떡볶이/면류,6.6,4.5,6.3
"행정구역","읍면","구입 변화",약간 감소 (%),즉석 밥류,10.2,19.9,13.9
"행정구역","읍면","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,13.9,27.7,19.5
"행정구역","읍면","구입 변화",약간 감소 (%),죽/스프류,25.7,34.9,23.6
"행정구역","읍면","구입 변화",약간 감소 (%),만두/피자류,11.2,19.7,13.8
"행정구역","읍면","구입 변화",약간 감소 (%),육류,17.1,24.1,24.0
"행정구역","읍면","구입 변화",약간 감소 (%),수산물,24.4,27.6,23.6
"행정구역","읍면","구입 변화",약간 감소 (%),소스/양념류,17.6,23.9,26.3
"행정구역","읍면","구입 변화",약간 감소 (%),즉석 떡볶이/면류,15.3,22.8,21.3
"행정구역","읍면","구입 변화",비슷 (%),즉석 밥류,66.0,56.4,59.0
"행정구역","읍면","구입 변화",비슷 (%),즉석 국류/찌개/탕류,50.8,38.5,36.5
"행정구역","읍면","구입 변화",비슷 (%),죽/스프류,53.0,44.1,45.2
"행정구역","읍면","구입 변화",비슷 (%),만두/피자류,52.5,56.2,55.9
"행정구역","읍면","구입 변화",비슷 (%),육류,63.9,46.1,49.3
"행정구역","읍면","구입 변화",비슷 (%),수산물,54.7,43.1,43.8
"행정구역","읍면","구입 변화",비슷 (%),소스/양념류,57.4,53.5,54.5
"행정구역","읍면","구입 변화",비슷 (%),즉석 떡볶이/면류,61.0,59.1,55.2
"행정구역","읍면","구입 변화",약간 증가 (%),즉석 밥류,18.6,18.4,21.9
"행정구역","읍면","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,28.5,19.8,35.4
"행정구역","읍면","구입 변화",약간 증가 (%),죽/스프류,12.2,7.7,11.8
"행정구역","읍면","구입 변화",약간 증가 (%),만두/피자류,30.5,16.5,26.6
"행정구역","읍면","구입 변화",약간 증가 (%),육류,12.1,10.5,13.7
"행정구역","읍면","구입 변화",약간 증가 (%),수산물,12.0,14.1,17.5
"행정구역","읍면","구입 변화",약간 증가 (%),소스/양념류,18.1,9.5,11.6
"행정구역","읍면","구입 변화",약간 증가 (%),즉석 떡볶이/면류,16.7,12.0,16.6
"행정구역","읍면","구입 변화",매우 증가 (%),즉석 밥류,1.0,0.0,0.3
"행정구역","읍면","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,2.4,0.0,1.2
"행정구역","읍면","구입 변화",매우 증가 (%),죽/스프류,0.7,0.0,0.4
"행정구역","읍면","구입 변화",매우 증가 (%),만두/피자류,3.2,2.6,1.3
"행정구역","읍면","구입 변화",매우 증가 (%),육류,1.1,0.9,0.0
"행정구역","읍면","구입 변화",매우 증가 (%),수산물,1.5,0.2,0.4
"행정구역","읍면","구입 변화",매우 증가 (%),소스/양념류,0.8,0.7,0.2
"행정구역","읍면","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.4,1.5,0.5
"행정구역","읍면","구입 변화",평균 (점),즉석 밥류,3.02,2.88,2.99
"행정구역","읍면","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.11,2.64,3.04
"행정구역","읍면","구입 변화",평균 (점),죽/스프류,2.71,2.46,2.51
"행정구역","읍면","구입 변화",평균 (점),만두/피자류,3.20,2.92,3.10
"행정구역","읍면","구입 변화",평균 (점),육류,2.86,2.52,2.64
"행정구역","읍면","구입 변화",평균 (점),수산물,2.76,2.57,2.65
"행정구역","읍면","구입 변화",평균 (점),소스/양념류,2.90,2.62,2.71
"행정구역","읍면","구입 변화",평균 (점),즉석 떡볶이/면류,2.89,2.83,2.84
"가구원수","1인","구입 경험 (%)",구입 없음,즉석 밥류,14.0,15.3,14.2
"가구원수","1인","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,14.9,20.6,16.7
"가구원수","1인","구입 경험 (%)",구입 없음,죽/스프류,34.2,37.4,39.0
"가구원수","1인","구입 경험 (%)",구입 없음,만두/피자류,8.6,13.6,8.9
"가구원수","1인","구입 경험 (%)",구입 없음,육류,24.4,34.8,31.1
"가구원수","1인","구입 경험 (%)",구입 없음,수산물,38.4,40.2,35.1
"가구원수","1인","구입 경험 (%)",구입 없음,소스/양념류,14.1,29.8,19.3
"가구원수","1인","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,18.2,21.5,20.2
"가구원수","1인","구입 경험 (%)",구입 있음,즉석 밥류,86.0,84.7,85.8
"가구원수","1인","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,85.1,79.4,83.3
"가구원수","1인","구입 경험 (%)",구입 있음,죽/스프류,65.8,62.6,61.0
"가구원수","1인","구입 경험 (%)",구입 있음,만두/피자류,91.4,86.4,91.1
"가구원수","1인","구입 경험 (%)",구입 있음,육류,75.6,65.2,68.9
"가구원수","1인","구입 경험 (%)",구입 있음,수산물,61.6,59.8,64.9
"가구원수","1인","구입 경험 (%)",구입 있음,소스/양념류,85.9,70.2,80.7
"가구원수","1인","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,81.8,78.5,79.8
"가구원수","1인","구입 변화",매우 감소 (%),즉석 밥류,1.6,2.5,5.2
"가구원수","1인","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,3.9,3.9,4.7
"가구원수","1인","구입 변화",매우 감소 (%),죽/스프류,12.3,13.4,7.8
"가구원수","1인","구입 변화",매우 감소 (%),만두/피자류,4.0,4.3,3.1
"가구원수","1인","구입 변화",매우 감소 (%),육류,10.8,13.5,7.7
"가구원수","1인","구입 변화",매우 감소 (%),수산물,8.1,17.0,9.6
"가구원수","1인","구입 변화",매우 감소 (%),소스/양념류,8.4,11.5,7.4
"가구원수","1인","구입 변화",매우 감소 (%),즉석 떡볶이/면류,8.6,3.9,5.4
"가구원수","1인","구입 변화",약간 감소 (%),즉석 밥류,4.7,10.3,10.7
"가구원수","1인","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,8.6,20.2,15.8
"가구원수","1인","구입 변화",약간 감소 (%),죽/스프류,13.7,34.1,30.0
"가구원수","1인","구입 변화",약간 감소 (%),만두/피자류,8.1,13.3,10.5
"가구원수","1인","구입 변화",약간 감소 (%),육류,13.5,26.3,20.6
"가구원수","1인","구입 변화",약간 감소 (%),수산물,23.7,25.2,23.3
"가구원수","1인","구입 변화",약간 감소 (%),소스/양념류,14.6,25.1,20.5
"가구원수","1인","구입 변화",약간 감소 (%),즉석 떡볶이/면류,12.8,12.8,19.7
"가구원수","1인","구입 변화",비슷 (%),즉석 밥류,56.6,67.5,58.9
"가구원수","1인","구입 변화",비슷 (%),즉석 국류/찌개/탕류,57.8,54.3,43.9
"가구원수","1인","구입 변화",비슷 (%),죽/스프류,60.9,46.4,54.5
"가구원수","1인","구입 변화",비슷 (%),만두/피자류,51.9,61.9,58.7
"가구원수","1인","구입 변화",비슷 (%),육류,58.0,51.8,59.0
"가구원수","1인","구입 변화",비슷 (%),수산물,52.5,46.6,53.1
"가구원수","1인","구입 변화",비슷 (%),소스/양념류,60.2,52.1,58.7
"가구원수","1인","구입 변화",비슷 (%),즉석 떡볶이/면류,60.1,71.1,60.3
"가구원수","1인","구입 변화",약간 증가 (%),즉석 밥류,34.4,19.0,22.7
"가구원수","1인","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,28.0,21.3,30.3
"가구원수","1인","구입 변화",약간 증가 (%),죽/스프류,12.0,6.1,7.2
"가구원수","1인","구입 변화",약간 증가 (%),만두/피자류,32.3,20.3,26.8
"가구원수","1인","구입 변화",약간 증가 (%),육류,17.5,8.3,9.5
"가구원수","1인","구입 변화",약간 증가 (%),수산물,14.5,10.9,13.6
"가구원수","1인","구입 변화",약간 증가 (%),소스/양념류,16.4,11.3,12.5
"가구원수","1인","구입 변화",약간 증가 (%),즉석 떡볶이/면류,15.3,12.1,14.6
"가구원수","1인","구입 변화",매우 증가 (%),즉석 밥류,2.8,0.6,2.5
"가구원수","1인","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,1.8,0.3,5.2
"가구원수","1인","구입 변화",매우 증가 (%),죽/스프류,1.2,0.0,0.5
"가구원수","1인","구입 변화",매우 증가 (%),만두/피자류,3.6,0.3,0.9
"가구원수","1인","구입 변화",매우 증가 (%),육류,0.2,0.1,3.2
"가구원수","1인","구입 변화",매우 증가 (%),수산물,1.1,0.3,0.5
"가구원수","1인","구입 변화",매우 증가 (%),소스/양념류,0.3,0.0,0.9
"가구원수","1인","구입 변화",매우 증가 (%),즉석 떡볶이/면류,3.2,0.1,0.1
"가구원수","1인","구입 변화",평균 (점),즉석 밥류,3.32,3.05,3.06
"가구원수","1인","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.15,2.94,3.16
"가구원수","1인","구입 변화",평균 (점),죽/스프류,2.76,2.45,2.63
"가구원수","1인","구입 변화",평균 (점),만두/피자류,3.23,2.99,3.12
"가구원수","1인","구입 변화",평균 (점),육류,2.83,2.55,2.80
"가구원수","1인","구입 변화",평균 (점),수산물,2.77,2.52,2.72
"가구원수","1인","구입 변화",평균 (점),소스/양념류,2.86,2.63,2.79
"가구원수","1인","구입 변화",평균 (점),즉석 떡볶이/면류,2.92,2.92,2.84
"가구원수","2인","구입 경험 (%)",구입 없음,즉석 밥류,16.5,24.8,14.8
"가구원수","2인","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,19.9,33.0,16.7
"가구원수","2인","구입 경험 (%)",구입 없음,죽/스프류,33.5,49.4,33.4
"가구원수","2인","구입 경험 (%)",구입 없음,만두/피자류,7.0,18.4,6.7
"가구원수","2인","구입 경험 (%)",구입 없음,육류,23.5,41.4,24.2
"가구원수","2인","구입 경험 (%)",구입 없음,수산물,36.0,46.9,30.5
"가구원수","2인","구입 경험 (%)",구입 없음,소스/양념류,14.0,30.1,14.0
"가구원수","2인","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,24.0,30.8,18.8
"가구원수","2인","구입 경험 (%)",구입 있음,즉석 밥류,83.5,75.2,85.2
"가구원수","2인","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,80.1,67.0,83.3
"가구원수","2인","구입 경험 (%)",구입 있음,죽/스프류,66.5,50.6,66.6
"가구원수","2인","구입 경험 (%)",구입 있음,만두/피자류,93.0,81.6,93.3
"가구원수","2인","구입 경험 (%)",구입 있음,육류,76.5,58.6,75.8
"가구원수","2인","구입 경험 (%)",구입 있음,수산물,64.0,53.1,69.5
"가구원수","2인","구입 경험 (%)",구입 있음,소스/양념류,86.0,69.9,86.0
"가구원수","2인","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,76.0,69.2,81.2
"가구원수","2인","구입 변화",매우 감소 (%),즉석 밥류,5.2,5.2,4.9
"가구원수","2인","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,4.1,8.8,9.5
"가구원수","2인","구입 변화",매우 감소 (%),죽/스프류,8.1,18.7,16.7
"가구원수","2인","구입 변화",매우 감소 (%),만두/피자류,4.2,5.2,4.5
"가구원수","2인","구입 변화",매우 감소 (%),육류,7.4,16.3,13.9
"가구원수","2인","구입 변화",매우 감소 (%),수산물,10.2,15.4,13.6
"가구원수","2인","구입 변화",매우 감소 (%),소스/양념류,6.0,10.4,9.9
"가구원수","2인","구입 변화",매우 감소 (%),즉석 떡볶이/면류,7.2,7.6,8.9
"가구원수","2인","구입 변화",약간 감소 (%),즉석 밥류,7.4,15.7,15.2
"가구원수","2인","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,13.3,25.6,20.3
"가구원수","2인","구입 변화",약간 감소 (%),죽/스프류,22.3,27.8,20.6
"가구원수","2인","구입 변화",약간 감소 (%),만두/피자류,15.1,15.9,15.3
"가구원수","2인","구입 변화",약간 감소 (%),육류,21.2,26.9,24.2
"가구원수","2인","구입 변화",약간 감소 (%),수산물,22.7,27.6,20.1
"가구원수","2인","구입 변화",약간 감소 (%),소스/양념류,19.5,25.0,21.9
"가구원수","2인","구입 변화",약간 감소 (%),즉석 떡볶이/면류,15.5,19.6,23.2
"가구원수","2인","구입 변화",비슷 (%),즉석 밥류,63.0,63.0,59.7
"가구원수","2인","구입 변화",비슷 (%),즉석 국류/찌개/탕류,52.4,44.5,42.4
"가구원수","2인","구입 변화",비슷 (%),죽/스프류,53.7,43.8,51.5
"가구원수","2인","구입 변화",비슷 (%),만두/피자류,57.9,56.5,52.6
"가구원수","2인","구입 변화",비슷 (%),육류,58.3,44.8,45.8
"가구원수","2인","구입 변화",비슷 (%),수산물,51.8,40.6,51.2
"가구원수","2인","구입 변화",비슷 (%),소스/양념류,57.2,53.1,54.7
"가구원수","2인","구입 변화",비슷 (%),즉석 떡볶이/면류,59.9,51.2,49.5
"가구원수","2인","구입 변화",약간 증가 (%),즉석 밥류,23.6,16.1,18.9
"가구원수","2인","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,27.9,21.1,24.1
"가구원수","2인","구입 변화",약간 증가 (%),죽/스프류,15.3,9.6,10.9
"가구원수","2인","구입 변화",약간 증가 (%),만두/피자류,22.4,20.3,25.4
"가구원수","2인","구입 변화",약간 증가 (%),육류,12.0,11.5,13.4
"가구원수","2인","구입 변화",약간 증가 (%),수산물,13.3,15.6,13.9
"가구원수","2인","구입 변화",약간 증가 (%),소스/양념류,16.2,11.0,11.9
"가구원수","2인","구입 변화",약간 증가 (%),즉석 떡볶이/면류,16.2,20.2,17.4
"가구원수","2인","구입 변화",매우 증가 (%),즉석 밥류,0.9,0.0,1.3
"가구원수","2인","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,2.3,0.0,3.7
"가구원수","2인","구입 변화",매우 증가 (%),죽/스프류,0.6,0.1,0.3
"가구원수","2인","구입 변화",매우 증가 (%),만두/피자류,0.4,2.1,2.2
"가구원수","2인","구입 변화",매우 증가 (%),육류,1.0,0.5,2.7
"가구원수","2인","구입 변화",매우 증가 (%),수산물,2.0,0.8,1.2
"가구원수","2인","구입 변화",매우 증가 (%),소스/양념류,1.1,0.4,1.6
"가구원수","2인","구입 변화",매우 증가 (%),즉석 떡볶이/면류,1.2,1.4,1.0
"가구원수","2인","구입 변화",평균 (점),즉석 밥류,3.08,2.90,2.96
"가구원수","2인","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.11,2.78,2.92
"가구원수","2인","구입 변화",평균 (점),죽/스프류,2.78,2.45,2.58
"가구원수","2인","구입 변화",평균 (점),만두/피자류,3.00,2.98,3.05
"가구원수","2인","구입 변화",평균 (점),육류,2.78,2.53,2.67
"가구원수","2인","구입 변화",평균 (점),수산물,2.74,2.59,2.69
"가구원수","2인","구입 변화",평균 (점),소스/양념류,2.87,2.66,2.73
"가구원수","2인","구입 변화",평균 (점),즉석 떡볶이/면류,2.88,2.88,2.78
"가구원수","3인","구입 경험 (%)",구입 없음,즉석 밥류,6.5,10.2,4.3
"가구원수","3인","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,10.4,14.6,7.1
"가구원수","3인","구입 경험 (%)",구입 없음,죽/스프류,26.1,35.7,21.1
"가구원수","3인","구입 경험 (%)",구입 없음,만두/피자류,3.1,6.8,1.5
"가구원수","3인","구입 경험 (%)",구입 없음,육류,15.3,26.6,12.3
"가구원수","3인","구입 경험 (%)",구입 없음,수산물,29.4,26.7,18.7
"가구원수","3인","구입 경험 (%)",구입 없음,소스/양념류,9.1,11.3,4.4
"가구원수","3인","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,11.6,12.2,4.0
"가구원수","3인","구입 경험 (%)",구입 있음,즉석 밥류,93.5,89.8,95.7
"가구원수","3인","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,89.6,85.4,92.9
"가구원수","3인","구입 경험 (%)",구입 있음,죽/스프류,73.9,64.3,78.9
"가구원수","3인","구입 경험 (%)",구입 있음,만두/피자류,96.9,93.2,98.5
"가구원수","3인","구입 경험 (%)",구입 있음,육류,84.7,73.4,87.7
"가구원수","3인","구입 경험 (%)",구입 있음,수산물,70.6,73.3,81.3
"가구원수","3인","구입 경험 (%)",구입 있음,소스/양념류,90.9,88.7,95.6
"가구원수","3인","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,88.4,87.8,96.0
"가구원수","3인","구입 변화",매우 감소 (%),즉석 밥류,4.6,4.1,3.8
"가구원수","3인","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,3.6,10.9,7.4
"가구원수","3인","구입 변화",매우 감소 (%),죽/스프류,10.5,18.8,16.4
"가구원수","3인","구입 변화",매우 감소 (%),만두/피자류,3.7,4.3,1.5
"가구원수","3인","구입 변화",매우 감소 (%),육류,8.8,13.1,11.4
"가구원수","3인","구입 변화",매우 감소 (%),수산물,12.5,13.4,15.2
"가구원수","3인","구입 변화",매우 감소 (%),소스/양념류,6.7,14.4,7.1
"가구원수","3인","구입 변화",매우 감소 (%),즉석 떡볶이/면류,4.6,6.9,5.7
"가구원수","3인","구입 변화",약간 감소 (%),즉석 밥류,7.2,20.0,10.5
"가구원수","3인","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,14.1,23.3,16.0
"가구원수","3인","구입 변화",약간 감소 (%),죽/스프류,21.1,32.1,22.3
"가구원수","3인","구입 변화",약간 감소 (%),만두/피자류,13.2,17.3,10.6
"가구원수","3인","구입 변화",약간 감소 (%),육류,16.7,27.4,19.0
"가구원수","3인","구입 변화",약간 감소 (%),수산물,23.3,28.6,17.5
"가구원수","3인","구입 변화",약간 감소 (%),소스/양념류,18.2,27.3,22.2
"가구원수","3인","구입 변화",약간 감소 (%),즉석 떡볶이/면류,18.6,19.5,18.6
"가구원수","3인","구입 변화",비슷 (%),즉석 밥류,62.5,52.0,58.0
"가구원수","3인","구입 변화",비슷 (%),즉석 국류/찌개/탕류,50.8,45.2,46.1
"가구원수","3인","구입 변화",비슷 (%),죽/스프류,52.7,39.0,48.9
"가구원수","3인","구입 변화",비슷 (%),만두/피자류,50.8,48.9,55.6
"가구원수","3인","구입 변화",비슷 (%),육류,56.9,48.3,49.4
"가구원수","3인","구입 변화",비슷 (%),수산물,49.3,40.2,50.8
"가구원수","3인","구입 변화",비슷 (%),소스/양념류,58.3,45.8,53.9
"가구원수","3인","구입 변화",비슷 (%),즉석 떡볶이/면류,60.5,49.6,54.8
"가구원수","3인","구입 변화",약간 증가 (%),즉석 밥류,24.9,23.9,26.3
"가구원수","3인","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,29.8,20.4,26.8
"가구원수","3인","구입 변화",약간 증가 (%),죽/스프류,15.8,10.2,12.0
"가구원수","3인","구입 변화",약간 증가 (%),만두/피자류,30.5,29.1,28.6
"가구원수","3인","구입 변화",약간 증가 (%),육류,16.0,10.7,15.7
"가구원수","3인","구입 변화",약간 증가 (%),수산물,13.9,17.6,15.8
"가구원수","3인","구입 변화",약간 증가 (%),소스/양념류,15.9,12.5,14.0
"가구원수","3인","구입 변화",약간 증가 (%),즉석 떡볶이/면류,15.5,23.7,18.5
"가구원수","3인","구입 변화",매우 증가 (%),즉석 밥류,0.8,0.0,1.5
"가구원수","3인","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,1.7,0.2,3.8
"가구원수","3인","구입 변화",매우 증가 (%),죽/스프류,0.0,0.0,0.5
"가구원수","3인","구입 변화",매우 증가 (%),만두/피자류,1.9,0.4,3.6
"가구원수","3인","구입 변화",매우 증가 (%),육류,1.6,0.5,4.5
"가구원수","3인","구입 변화",매우 증가 (%),수산물,1.1,0.2,0.7
"가구원수","3인","구입 변화",매우 증가 (%),소스/양념류,0.7,0.0,2.8
"가구원수","3인","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.9,0.4,2.5
"가구원수","3인","구입 변화",평균 (점),즉석 밥류,3.10,2.96,3.11
"가구원수","3인","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.12,2.76,3.04
"가구원수","3인","구입 변화",평균 (점),죽/스프류,2.74,2.41,2.58
"가구원수","3인","구입 변화",평균 (점),만두/피자류,3.14,3.04,3.22
"가구원수","3인","구입 변화",평균 (점),육류,2.85,2.58,2.83
"가구원수","3인","구입 변화",평균 (점),수산물,2.68,2.63,2.69
"가구원수","3인","구입 변화",평균 (점),소스/양념류,2.86,2.56,2.83
"가구원수","3인","구입 변화",평균 (점),즉석 떡볶이/면류,2.90,2.91,2.94
"가구원수","4인 이상","구입 경험 (%)",구입 없음,즉석 밥류,9.3,7.4,4.5
"가구원수","4인 이상","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,11.0,12.6,6.0
"가구원수","4인 이상","구입 경험 (%)",구입 없음,죽/스프류,26.7,37.6,24.5
"가구원수","4인 이상","구입 경험 (%)",구입 없음,만두/피자류,3.8,5.7,3.0
"가구원수","4인 이상","구입 경험 (%)",구입 없음,육류,17.7,24.5,11.0
"가구원수","4인 이상","구입 경험 (%)",구입 없음,수산물,31.2,29.3,20.6
"가구원수","4인 이상","구입 경험 (%)",구입 없음,소스/양념류,8.1,12.2,4.2
"가구원수","4인 이상","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,12.1,11.8,5.3
"가구원수","4인 이상","구입 경험 (%)",구입 있음,즉석 밥류,90.7,92.6,95.5
"가구원수","4인 이상","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,89.0,87.4,94.0
"가구원수","4인 이상","구입 경험 (%)",구입 있음,죽/스프류,73.3,62.4,75.5
"가구원수","4인 이상","구입 경험 (%)",구입 있음,만두/피자류,96.2,94.3,97.0
"가구원수","4인 이상","구입 경험 (%)",구입 있음,육류,82.3,75.5,89.0
"가구원수","4인 이상","구입 경험 (%)",구입 있음,수산물,68.8,70.7,79.4
"가구원수","4인 이상","구입 경험 (%)",구입 있음,소스/양념류,91.9,87.8,95.8
"가구원수","4인 이상","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,87.9,88.2,94.7
"가구원수","4인 이상","구입 변화",매우 감소 (%),즉석 밥류,3.2,3.5,3.6
"가구원수","4인 이상","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,2.9,6.6,5.4
"가구원수","4인 이상","구입 변화",매우 감소 (%),죽/스프류,14.7,12.5,11.7
"가구원수","4인 이상","구입 변화",매우 감소 (%),만두/피자류,2.7,2.8,1.0
"가구원수","4인 이상","구입 변화",매우 감소 (%),육류,8.4,12.0,9.5
"가구원수","4인 이상","구입 변화",매우 감소 (%),수산물,9.5,9.8,9.3
"가구원수","4인 이상","구입 변화",매우 감소 (%),소스/양념류,4.3,11.5,6.7
"가구원수","4인 이상","구입 변화",매우 감소 (%),즉석 떡볶이/면류,4.4,3.9,6.2
"가구원수","4인 이상","구입 변화",약간 감소 (%),즉석 밥류,9.3,14.8,13.0
"가구원수","4인 이상","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,14.9,22.2,19.1
"가구원수","4인 이상","구입 변화",약간 감소 (%),죽/스프류,25.8,27.3,25.4
"가구원수","4인 이상","구입 변화",약간 감소 (%),만두/피자류,10.1,12.2,9.1
"가구원수","4인 이상","구입 변화",약간 감소 (%),육류,18.6,21.7,16.9
"가구원수","4인 이상","구입 변화",약간 감소 (%),수산물,22.6,25.6,18.2
"가구원수","4인 이상","구입 변화",약간 감소 (%),소스/양념류,23.9,23.9,20.0
"가구원수","4인 이상","구입 변화",약간 감소 (%),즉석 떡볶이/면류,18.5,17.1,16.6
"가구원수","4인 이상","구입 변화",비슷 (%),즉석 밥류,58.9,56.4,59.7
"가구원수","4인 이상","구입 변화",비슷 (%),즉석 국류/찌개/탕류,52.7,49.3,46.3
"가구원수","4인 이상","구입 변화",비슷 (%),죽/스프류,45.7,48.6,51.1
"가구원수","4인 이상","구입 변화",비슷 (%),만두/피자류,46.8,49.2,49.1
"가구원수","4인 이상","구입 변화",비슷 (%),육류,53.9,50.0,52.5
"가구원수","4인 이상","구입 변화",비슷 (%),수산물,56.6,49.2,52.6
"가구원수","4인 이상","구입 변화",비슷 (%),소스/양념류,57.9,52.1,56.2
"가구원수","4인 이상","구입 변화",비슷 (%),즉석 떡볶이/면류,54.8,53.7,56.6
"가구원수","4인 이상","구입 변화",약간 증가 (%),즉석 밥류,28.4,24.9,23.2
"가구원수","4인 이상","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,28.8,21.7,23.7
"가구원수","4인 이상","구입 변화",약간 증가 (%),죽/스프류,13.8,11.6,11.5
"가구원수","4인 이상","구입 변화",약간 증가 (%),만두/피자류,39.4,33.7,37.2
"가구원수","4인 이상","구입 변화",약간 증가 (%),육류,18.8,15.1,18.7
"가구원수","4인 이상","구입 변화",약간 증가 (%),수산물,11.2,15.4,16.0
"가구원수","4인 이상","구입 변화",약간 증가 (%),소스/양념류,13.5,12.2,15.4
"가구원수","4인 이상","구입 변화",약간 증가 (%),즉석 떡볶이/면류,21.6,24.8,19.8
"가구원수","4인 이상","구입 변화",매우 증가 (%),즉석 밥류,0.2,0.4,0.5
"가구원수","4인 이상","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,0.7,0.2,5.6
"가구원수","4인 이상","구입 변화",매우 증가 (%),죽/스프류,0.0,0.0,0.4
"가구원수","4인 이상","구입 변화",매우 증가 (%),만두/피자류,1.1,2.1,3.5
"가구원수","4인 이상","구입 변화",매우 증가 (%),육류,0.3,1.2,2.4
"가구원수","4인 이상","구입 변화",매우 증가 (%),수산물,0.2,0.0,3.9
"가구원수","4인 이상","구입 변화",매우 증가 (%),소스/양념류,0.4,0.2,1.8
"가구원수","4인 이상","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.7,0.5,0.8
"가구원수","4인 이상","구입 변화",평균 (점),즉석 밥류,3.13,3.04,3.04
"가구원수","4인 이상","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.10,2.87,3.05
"가구원수","4인 이상","구입 변화",평균 (점),죽/스프류,2.59,2.59,2.64
"가구원수","4인 이상","구입 변화",평균 (점),만두/피자류,3.26,3.20,3.33
"가구원수","4인 이상","구입 변화",평균 (점),육류,2.84,2.72,2.88
"가구원수","4인 이상","구입 변화",평균 (점),수산물,2.70,2.70,2.87
"가구원수","4인 이상","구입 변화",평균 (점),소스/양념류,2.82,2.66,2.86
"가구원수","4인 이상","구입 변화",평균 (점),즉석 떡볶이/면류,2.96,3.01,2.92
"가구주성별","남성","구입 경험 (%)",구입 없음,즉석 밥류,12.3,15.5,9.0
"가구주성별","남성","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,15.5,22.5,11.7
"가구주성별","남성","구입 경험 (%)",구입 없음,죽/스프류,30.9,42.9,28.4
"가구주성별","남성","구입 경험 (%)",구입 없음,만두/피자류,5.4,12.5,4.8
"가구주성별","남성","구입 경험 (%)",구입 없음,육류,21.6,33.7,18.3
"가구주성별","남성","구입 경험 (%)",구입 없음,수산물,35.2,37.1,24.6
